Simulation_ID,Population_Size,Initial_Allele_Frequency,Generations,Mutation_Rate,Final_Mean_Allele_Frequency,Final_Std_Allele_Frequency
0,500,0.8756677022116469,20,4.413161696911121e-05,0.0,0.0
1,1000,0.7201062586888917,20,7.327389233962004e-05,1.0,0.0
2,50,0.8515991532513513,100,5.72389664147323e-06,0.8533999999999999,0.048746302631092135
3,500,0.815861880342119,50,5.703768383891355e-05,0.8154599999999997,0.017414390890898513
4,500,0.5783199830488681,50,1.6705998316606615e-05,0.5815600000000001,0.02008784747457068
5,1000,0.8374993880184934,20,1.2896300132758578e-05,5.0,0.0
6,50,0.1707940016415356,50,3.484608700492376e-05,0.16519999999999999,0.05161003739192561
7,50,0.2567862899353161,50,1.0088107515530749e-05,0.24780000000000002,0.05873377704231668
8,500,0.1361818311284304,100,1.0321541838587453e-05,0.1343,0.016335806862796398
9,100,0.3602642646106114,100,3.182991762973812e-05,0.3638999999999999,0.04902885153486958
10,500,0.4109418317515856,100,9.797154233352936e-05,0.4125400000000001,0.021150456689675003
11,500,0.3170792254191167,100,1.8357696719044515e-05,0.3166399999999999,0.02071622601252507
12,500,0.7629900073215435,20,2.6989490813432734e-06,12.0,0.0
13,500,0.3854026613548714,100,7.657307787738718e-05,0.3870199999999999,0.019570117397437733
14,1000,0.3247476077499046,50,8.088438472802717e-05,0.32647999999999994,0.014313573412617266
15,50,0.5341568665265988,20,3.528412778785068e-05,15.0,0.0
16,1000,0.2127393799798101,50,4.700270748102153e-05,0.21486,0.013595171454185005
17,1000,0.7417575846032317,50,6.532759458163357e-05,0.7401099999999999,0.014351218580576183
18,1000,0.1596405149438166,50,5.757833495506339e-06,0.16161999999999999,0.011047903041580407
19,500,0.8895095492804138,100,9.49654274275472e-05,0.8809,0.013886626078295052
20,100,0.717795815437326,100,8.878135834250671e-05,0.7160000000000001,0.042946995755750415
21,50,0.2589725452273379,20,2.6828468710829685e-05,21.0,0.0
22,100,0.1044176936988819,20,2.51514948874809e-06,22.0,0.0
23,1000,0.7523691427638673,100,9.341019449986882e-05,0.74682,0.013627349209022524
24,1000,0.6654858750780936,50,5.0602948507610665e-05,0.6632500000000001,0.014500696604653245
25,100,0.6832057344327899,20,5.439836739160619e-05,25.0,0.0
26,100,0.7170162773487566,100,6.871241317041597e-05,0.7176,0.03980051266102999
27,100,0.1592357213872723,100,6.196926527460147e-05,0.1618,0.03820148603593236
28,1000,0.3867725828354181,100,9.444526885151497e-05,0.38852,0.015136737035464684
29,1000,0.1926952476201038,50,9.448090811539158e-05,0.1938,0.011693907591026823
30,50,0.7904827407004749,100,8.685269442194538e-05,0.7868,0.06164217367807186
31,50,0.5986385014620463,100,6.400395614715512e-05,0.5993999999999999,0.07507329751649383
32,1000,0.3647184198821194,100,8.029398017355758e-05,0.3678800000000001,0.014489480684450034
33,100,0.1508466802288189,100,6.80396658959152e-05,0.1593,0.03456088172275912
34,100,0.3487858573725297,20,5.77633371255214e-05,34.0,0.0
35,50,0.3601466576213976,20,1.372153497015711e-05,35.0,0.0
36,1000,0.6836849426704512,100,8.13092134968643e-05,0.6792699999999999,0.01681681157399198
37,50,0.6100459770841705,50,8.224330809865158e-05,0.6036,0.06860102776271658
38,50,0.8097701940610612,20,6.296802734005571e-05,38.0,0.0
39,500,0.4777719401295595,100,8.222225753335555e-05,0.4754,0.019662814209218945
40,500,0.1956753967506413,20,6.5496992413921e-05,40.0,0.0
41,500,0.670595829778396,20,2.14617516277978e-05,41.0,0.0
42,100,0.708628038893518,50,2.8122151604792244e-05,0.7116,0.051162644200785416
43,1000,0.549021758055597,100,2.2244322851129043e-05,0.5520299999999999,0.015168051884793823
44,1000,0.7167737439636488,100,3.834864923956961e-05,0.71375,0.015294004238804363
45,1000,0.4950364770915126,50,4.857350098713129e-06,0.49364,0.01569116073630391
46,1000,0.5181862635055953,50,6.22071345494514e-05,0.5208499999999999,0.01742770057909958
47,500,0.4420328146868397,100,3.4318867273983924e-05,0.4456000000000001,0.022851297953985418
48,100,0.1203353013952761,100,6.591654090269348e-05,0.12000000000000002,0.029881922510596487
49,100,0.1863131415946435,50,3.915426547559094e-05,0.18269999999999997,0.04191995739838995
50,500,0.1251433485493874,20,6.847975322830619e-05,50.0,0.0
51,100,0.6091283290110243,20,3.472183237695976e-05,51.0,0.0
52,500,0.3514847848610614,50,2.680875829535441e-05,0.35173999999999994,0.022436721343513287
53,1000,0.5068565529317622,20,5.010770797504721e-05,53.0,0.0
54,500,0.8260531791408744,50,6.9596145510502e-05,0.8230999999999998,0.018019910424782105
55,1000,0.2994337833191,20,3.548532384086654e-05,55.0,0.0
56,1000,0.4283063384285038,20,9.372816703371502e-05,56.0,0.0
57,50,0.7044409108344389,100,4.879446340888979e-06,0.6926000000000001,0.06826300889821942
58,500,0.283038532393298,100,4.23766571398423e-05,0.28592,0.019593691006870733
59,50,0.1615839278630344,20,9.67904746005045e-05,59.0,0.0
60,500,0.3318011623310144,20,5.524921644156064e-05,60.0,0.0
61,500,0.2289770298032035,100,4.292362328850374e-05,0.23,0.01847520861406803
62,50,0.8437581218740585,100,5.728350809124588e-05,0.8398000000000002,0.048616827946668426
63,50,0.7464963036515336,100,5.801653295055038e-05,0.746,0.06669696281304605
64,500,0.6067230052083388,50,7.343312777466438e-05,0.609,0.0227600571620592
65,100,0.7971684721501742,20,1.3641283212824097e-05,65.0,0.0
66,1000,0.7429376615192916,100,2.5751628472394363e-05,0.7404600000000001,0.014402174358846883
67,50,0.2492560471088286,20,5.847385722204708e-05,67.0,0.0
68,1000,0.8140471987919823,50,8.68445441137625e-05,0.8105999999999999,0.012191237124519472
69,100,0.5314737935325206,50,5.662480252223359e-05,0.5302,0.04664458351960249
70,100,0.74595212413125,100,2.462108911924368e-05,0.7437,0.04152776848755007
71,100,0.8168730399387946,50,6.830463321012434e-05,0.8127,0.03754741110660068
72,50,0.3544027799774911,20,7.425096728429008e-05,72.0,0.0
73,100,0.1880415396221414,100,2.458537908799397e-05,0.19210000000000002,0.03967786956646405
74,50,0.2823481300335533,20,3.839515973145319e-05,74.0,0.0
75,100,0.4416862309010051,20,5.389841987952578e-05,75.0,0.0
76,1000,0.7544118127379945,50,5.015955787762469e-05,0.75558,0.01532554479398118
77,1000,0.7885844666050748,50,3.957219053570114e-05,0.7852000000000001,0.012956025079421004
78,500,0.1055617044249525,50,3.046588227642178e-05,0.10648000000000002,0.013421285672055009
79,1000,0.5085978420620526,50,1.0898503829024475e-05,0.50957,0.015527918811813224
80,500,0.4339288025190232,50,6.295044377989522e-06,0.42908,0.02322384702643106
81,1000,0.2776862483765842,100,9.589560819143664e-05,0.28486999999999996,0.015106126257417892
82,50,0.1958922938669462,20,8.486717126546339e-05,82.0,0.0
83,1000,0.3700921371229023,20,3.613561385580934e-05,83.0,0.0
84,500,0.8543277631300153,20,9.572328762751918e-05,84.0,0.0
85,500,0.3585623456166041,20,6.800022053800603e-05,85.0,0.0
86,100,0.5150324973946929,50,4.876957401462161e-05,0.5151,0.05174715138795253
87,50,0.6624151671161422,20,4.9809540119408695e-05,87.0,0.0
88,1000,0.3909036819034351,100,9.245156708330706e-06,0.38959000000000005,0.01683436540490489
89,100,0.8774256661767685,100,1.0078710578589629e-05,0.8788999999999999,0.02967483714523065
90,1000,0.869957835953689,20,6.064165166421078e-05,90.0,0.0
91,1000,0.3014258366602913,20,5.581660218223428e-05,91.0,0.0
92,100,0.4977988047139083,100,2.206006160739867e-05,0.5022,0.04996119706453413
93,100,0.3407026478534157,100,9.467325974528734e-05,0.3403,0.05105859181352144
