Simulation_ID,Population_Size,Initial_Allele_Frequency,Generations,Mutation_Rate,Final_Mean_Allele_Frequency,Final_Std_Allele_Frequency
0,500,0.8756677022116469,20,4.413161696911121e-05,,
1,1000,0.7201062586888917,20,7.327389233962004e-05,,
2,50,0.8515991532513513,100,5.72389664147323e-06,0.8540000000000001,0.32141731582024474
3,500,0.815861880342119,50,5.703768383891355e-05,,
4,500,0.5783199830488681,50,1.6705998316606615e-05,,
5,1000,0.8374993880184934,20,1.2896300132758578e-05,,
6,50,0.1707940016415356,50,3.484608700492376e-05,,
7,50,0.2567862899353161,50,1.0088107515530749e-05,,
8,500,0.1361818311284304,100,1.0321541838587453e-05,0.14684,0.1420166955614086
9,100,0.3602642646106114,100,3.182991762973812e-05,0.4268,0.3812204749289451
10,500,0.4109418317515856,100,9.797154233352936e-05,0.425,0.19249420822980676
11,500,0.3170792254191167,100,1.8357696719044515e-05,0.27768,0.20526813604835914
12,500,0.7629900073215435,20,2.6989490813432734e-06,,
13,500,0.3854026613548714,100,7.657307787738718e-05,0.3624,0.1939711527026843
14,1000,0.3247476077499046,50,8.088438472802717e-05,,
15,50,0.5341568665265988,20,3.528412778785068e-05,,
16,1000,0.2127393799798101,50,4.700270748102153e-05,,
17,1000,0.7417575846032317,50,6.532759458163357e-05,,
18,1000,0.1596405149438166,50,5.757833495506339e-06,,
19,500,0.8895095492804138,100,9.49654274275472e-05,0.8892599999999998,0.11952960159126129
20,100,0.717795815437326,100,8.878135834250671e-05,0.7084,0.34812258377378125
21,50,0.2589725452273379,20,2.6828468710829685e-05,,
22,100,0.1044176936988819,20,2.51514948874809e-06,,
23,1000,0.7523691427638673,100,9.341019449986882e-05,0.7545800000000001,0.13053713276421783
24,1000,0.6654858750780936,50,5.0602948507610665e-05,,
25,100,0.6832057344327899,20,5.439836739160619e-05,,
26,100,0.7170162773487566,100,6.871241317041597e-05,0.7513,0.31912967188080066
27,100,0.1592357213872723,100,6.196926527460147e-05,0.1838,0.3088747253492845
28,1000,0.3867725828354181,100,9.444526885151497e-05,0.38985,0.14649510454812356
29,1000,0.1926952476201038,50,9.448090811539158e-05,,
30,50,0.7904827407004749,100,8.685269442194538e-05,0.7958,0.3831321738333426
31,50,0.5986385014620463,100,6.400395614715512e-05,0.6118,0.45155708164062497
32,1000,0.3647184198821194,100,8.029398017355758e-05,0.36728,0.13401282013149324
33,100,0.1508466802288189,100,6.80396658959152e-05,0.1796,0.3233627602978963
34,100,0.3487858573725297,20,5.77633371255214e-05,,
35,50,0.3601466576213976,20,1.372153497015711e-05,,
36,1000,0.6836849426704512,100,8.13092134968643e-05,0.6668000000000001,0.13568963397281597
37,50,0.6100459770841705,50,8.224330809865158e-05,,
38,50,0.8097701940610612,20,6.296802734005571e-05,,
39,500,0.4777719401295595,100,8.222225753335555e-05,0.46218000000000004,0.20069557729923881
40,500,0.1956753967506413,20,6.5496992413921e-05,,
41,500,0.670595829778396,20,2.14617516277978e-05,,
42,100,0.708628038893518,50,2.8122151604792244e-05,,
43,1000,0.549021758055597,100,2.2244322851129043e-05,0.5377500000000001,0.16110184839273434
44,1000,0.7167737439636488,100,3.834864923956961e-05,0.7372600000000002,0.13152736167310158
45,1000,0.4950364770915126,50,4.857350098713129e-06,,
46,1000,0.5181862635055953,50,6.22071345494514e-05,,
47,500,0.4420328146868397,100,3.4318867273983924e-05,0.40642,0.22531922046534583
48,100,0.1203353013952761,100,6.591654090269348e-05,0.1534,0.27559383083799177
49,100,0.1863131415946435,50,3.915426547559094e-05,,
50,500,0.1251433485493874,20,6.847975322830619e-05,,
51,100,0.6091283290110243,20,3.472183237695976e-05,,
52,500,0.3514847848610614,50,2.680875829535441e-05,,
53,1000,0.5068565529317622,20,5.010770797504721e-05,,
54,500,0.8260531791408744,50,6.9596145510502e-05,,
55,1000,0.2994337833191,20,3.548532384086654e-05,,
56,1000,0.4283063384285038,20,9.372816703371502e-05,,
57,50,0.7044409108344389,100,4.879446340888979e-06,0.7440000000000001,0.40874283733260347
58,500,0.283038532393298,100,4.23766571398423e-05,0.28838,0.1875933049999602
59,50,0.1615839278630344,20,9.67904746005045e-05,,
60,500,0.3318011623310144,20,5.524921644156064e-05,,
61,500,0.2289770298032035,100,4.292362328850374e-05,0.23881999999999998,0.1841477437145281
62,50,0.8437581218740585,100,5.728350809124588e-05,0.7938000000000001,0.37638036853452095
63,50,0.7464963036515336,100,5.801653295055038e-05,0.8146000000000001,0.3542053846929131
64,500,0.6067230052083388,50,7.343312777466438e-05,,
65,100,0.7971684721501742,20,1.3641283212824097e-05,,
66,1000,0.7429376615192916,100,2.5751628472394363e-05,0.7478699999999999,0.12328161528251755
67,50,0.2492560471088286,20,5.847385722204708e-05,,
68,1000,0.8140471987919823,50,8.68445441137625e-05,,
69,100,0.5314737935325206,50,5.662480252223359e-05,,
70,100,0.74595212413125,100,2.462108911924368e-05,0.6598999999999999,0.3726468119609323
71,100,0.8168730399387946,50,6.830463321012434e-05,,
72,50,0.3544027799774911,20,7.425096728429008e-05,,
73,100,0.1880415396221414,100,2.458537908799397e-05,0.177,0.3113752486222137
74,50,0.2823481300335533,20,3.839515973145319e-05,,
75,100,0.4416862309010051,20,5.389841987952578e-05,,
76,1000,0.7544118127379945,50,5.015955787762469e-05,,
77,1000,0.7885844666050748,50,3.957219053570114e-05,,
78,500,0.1055617044249525,50,3.046588227642178e-05,,
79,1000,0.5085978420620526,50,1.0898503829024475e-05,,
80,500,0.4339288025190232,50,6.295044377989522e-06,,
81,1000,0.2776862483765842,100,9.589560819143664e-05,0.2656,0.13762311292846566
82,50,0.1958922938669462,20,8.486717126546339e-05,,
83,1000,0.3700921371229023,20,3.613561385580934e-05,,
84,500,0.8543277631300153,20,9.572328762751918e-05,,
85,500,0.3585623456166041,20,6.800022053800603e-05,,
86,100,0.5150324973946929,50,4.876957401462161e-05,,
87,50,0.6624151671161422,20,4.9809540119408695e-05,,
88,1000,0.3909036819034351,100,9.245156708330706e-06,0.39421999999999996,0.16532377660551767
89,100,0.8774256661767685,100,1.0078710578589629e-05,0.8659,0.27895944819520585
90,1000,0.869957835953689,20,6.064165166421078e-05,,
91,1000,0.3014258366602913,20,5.581660218223428e-05,,
92,100,0.4977988047139083,100,2.206006160739867e-05,0.5052,0.389331153999712
93,100,0.3407026478534157,100,9.467325974528734e-05,0.36200000000000004,0.3860679795689935
94,100,0.3278723955019741,50,7.834830899664906e-05,,
95,100,0.1295095578836262,100,1.2232995599727354e-05,0.1316,0.24278568509879014
96,100,0.5876514671839175,50,9.316198146304197e-05,,
97,1000,0.5021432185830892,50,9.745057264490662e-05,,
98,100,0.1411830009999914,50,9.95971929610026e-05,,
99,50,0.3229171713892891,50,6.531244313057655e-06,,
